# SignalP-5.0	Organism: euk	Timestamp: 20260406151620
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
Q8F6W5	OTHER	0.000159	0.999841	
Q8F6W7	OTHER	0.000232	0.999768	
Q8F6W8	OTHER	0.007615	0.992385	
Q8F6X0	OTHER	0.002312	0.997688	
Q8F6X1	OTHER	0.000487	0.999513	
Q8F6X2	SP(Sec/SPI)	0.988003	0.011997	CS pos: 20-21. LKA-EE. Pr: 0.9226
Q8F6X3	OTHER	0.001699	0.998301	
Q8F6X5	OTHER	0.000402	0.999598	
Q8F6X6	OTHER	0.000158	0.999842	
Q8F6X7	OTHER	0.001382	0.998618	
Q8F6Y1	SP(Sec/SPI)	0.841203	0.158797	CS pos: 22-23. LIA-YT. Pr: 0.3576
Q8F6Y2	SP(Sec/SPI)	0.990309	0.009691	CS pos: 25-26. CNC-PD. Pr: 0.3544
Q8F6Y5	OTHER	0.000217	0.999783	
Q8F6Y6	OTHER	0.000286	0.999714	
Q8F6Y7	OTHER	0.001149	0.998851	
Q8F6Y8	SP(Sec/SPI)	0.627049	0.372951	CS pos: 27-28. VNS-LF. Pr: 0.5066
Q8F6Z0	SP(Sec/SPI)	0.895594	0.104406	CS pos: 19-20. CIV-SP. Pr: 0.3239
Q8F6Z2	OTHER	0.001977	0.998023	
Q8F6Z6	OTHER	0.001183	0.998817	
Q8F704	OTHER	0.002070	0.997930	
Q8F711	OTHER	0.001171	0.998829	
Q8F712	SP(Sec/SPI)	0.518788	0.481212	CS pos: 43-44. LLA-QP. Pr: 0.4253
Q8F713	OTHER	0.000359	0.999641	
Q8F715	OTHER	0.001363	0.998637	
Q8F716	OTHER	0.001154	0.998846	
Q8F718	OTHER	0.000464	0.999536	
Q8F719	OTHER	0.000713	0.999287	
Q8F720	OTHER	0.000348	0.999652	
Q8F722	OTHER	0.000724	0.999276	
Q8F725	OTHER	0.001711	0.998289	
Q8F726	SP(Sec/SPI)	0.962955	0.037045	CS pos: 16-17. AFS-QT. Pr: 0.5672
Q8F727	OTHER	0.000358	0.999642	
Q8F731	SP(Sec/SPI)	0.992584	0.007416	CS pos: 24-25. LNS-DP. Pr: 0.8455
Q8F734	OTHER	0.000278	0.999722	
Q8F741	OTHER	0.001217	0.998783	
Q8F742	OTHER	0.000304	0.999696	
Q8F744	OTHER	0.000170	0.999830	
Q8F745	OTHER	0.001986	0.998014	
Q8F748	OTHER	0.386200	0.613800	
Q8F749	OTHER	0.010018	0.989982	
Q8F750	OTHER	0.001337	0.998663	
Q8F751	OTHER	0.003002	0.996998	
Q8F753	OTHER	0.001013	0.998987	
Q8F754	OTHER	0.000855	0.999145	
Q8F755	OTHER	0.000426	0.999574	
Q8F756	OTHER	0.000967	0.999033	
Q8F757	OTHER	0.000775	0.999225	
Q8F758	OTHER	0.001188	0.998812	
Q8F760	OTHER	0.001607	0.998393	
Q8F761	OTHER	0.000916	0.999084	
Q8F762	SP(Sec/SPI)	0.881661	0.118339	CS pos: 23-24. TSS-QK. Pr: 0.4494
Q8F767	OTHER	0.001201	0.998799	
Q8F769	OTHER	0.439882	0.560118	
Q8F774	OTHER	0.000506	0.999494	
Q8F775	OTHER	0.000626	0.999374	
Q8F776	OTHER	0.003438	0.996562	
Q8F777	OTHER	0.001619	0.998381	
Q8F779	SP(Sec/SPI)	0.983575	0.016425	CS pos: 17-18. SYC-SI. Pr: 0.7387
Q8F781	OTHER	0.000579	0.999421	
Q8F782	OTHER	0.001146	0.998854	
Q8F783	OTHER	0.001041	0.998959	
Q8F784	OTHER	0.000439	0.999561	
Q8F785	OTHER	0.000446	0.999554	
Q8F786	OTHER	0.000558	0.999442	
Q8F787	OTHER	0.000601	0.999399	
Q8F788	OTHER	0.000978	0.999022	
Q8F789	OTHER	0.006258	0.993742	
Q8F790	OTHER	0.000339	0.999661	
Q8F791	OTHER	0.002300	0.997700	
Q8F792	OTHER	0.000257	0.999743	
Q8F793	OTHER	0.003532	0.996468	
Q8F794	OTHER	0.000375	0.999625	
Q8F795	OTHER	0.001375	0.998625	
Q8F796	OTHER	0.002127	0.997873	
Q8F797	OTHER	0.002479	0.997521	
Q8F7A1	OTHER	0.000586	0.999414	
Q8F7A2	OTHER	0.000643	0.999357	
Q8F7A4	OTHER	0.001014	0.998986	
Q8F7A5	OTHER	0.000786	0.999214	
Q8F7A8	SP(Sec/SPI)	0.994525	0.005475	CS pos: 17-18. SHC-KT. Pr: 0.9194
Q8F7A9	SP(Sec/SPI)	0.818301	0.181699	CS pos: 24-25. CNT-SD. Pr: 0.4311
Q8F7B5	OTHER	0.002727	0.997273	
Q8F7B6	OTHER	0.000476	0.999524	
Q8F7B7	OTHER	0.000870	0.999130	
Q8F7B8	OTHER	0.001167	0.998833	
Q8F7C2	OTHER	0.000319	0.999681	
Q8F7C3	OTHER	0.001328	0.998672	
Q8F7C4	OTHER	0.002036	0.997964	
Q8F7C7	OTHER	0.002956	0.997044	
Q8F7C8	OTHER	0.000981	0.999019	
Q8F7C9	OTHER	0.130639	0.869361	
Q8F7D0	SP(Sec/SPI)	0.986601	0.013399	CS pos: 21-22. IHS-EN. Pr: 0.9264
Q8F7D1	SP(Sec/SPI)	0.999213	0.000787	CS pos: 25-26. VHA-YQ. Pr: 0.8436
Q8F7D2	OTHER	0.000445	0.999555	
Q8F7D3	OTHER	0.001932	0.998068	
Q8F7D6	SP(Sec/SPI)	0.693022	0.306978	CS pos: 21-22. LHS-VS. Pr: 0.1830
Q8F7D8	SP(Sec/SPI)	0.737982	0.262018	CS pos: 20-21. GNT-NP. Pr: 0.2974
Q8F7E0	OTHER	0.000491	0.999509	
Q8F7E1	SP(Sec/SPI)	0.990075	0.009925	CS pos: 24-25. SKS-DT. Pr: 0.4073
Q8F7E2	OTHER	0.000142	0.999858	
Q8F7E3	OTHER	0.000893	0.999107	
Q8F7E4	OTHER	0.001806	0.998194	
Q8F7E5	OTHER	0.000426	0.999574	
Q8F7E6	OTHER	0.000348	0.999652	
Q8F7E8	OTHER	0.059994	0.940006	
Q8F7E9	OTHER	0.045111	0.954889	
Q8F7F0	SP(Sec/SPI)	0.980775	0.019225	CS pos: 22-23. AYS-EE. Pr: 0.8092
Q8F7F1	OTHER	0.023379	0.976621	
Q8F7F2	OTHER	0.001042	0.998958	
Q8F7F3	OTHER	0.002860	0.997140	
Q8F7F4	OTHER	0.106143	0.893857	
Q8F7F5	OTHER	0.001165	0.998835	
Q8F7F6	OTHER	0.001826	0.998174	
Q8F7F9	OTHER	0.000303	0.999697	
Q8F7G0	OTHER	0.000754	0.999246	
Q8F7G1	OTHER	0.000508	0.999492	
Q8F7G2	OTHER	0.002024	0.997976	
Q8F7G6	OTHER	0.004823	0.995177	
